title,year,rating,review_count,stars
My Heartless Alpha,2024–,8.4,(84),"Lil Safonova, Rebecca Stoughton, Ethan Kirschbaum"
Alpha's Perfect Love,2024,7.3,(119),"Mark Vega, Francesca Rowe, Brooklyn Benson"
My Hockey Alpha,2024,7.4,(85),"Chozy Aiyub, Grace Woods Swanson, Nicolas James Wilson"
Oops! I Married a CEO by Mistake,2024–,8.0,(87),"Kyra Wisely, Ryan Watson Henderson, Sia Kravchenko"
The Forbidden Love,2023,6.7,(23),"Monroe Cline, Alyssa Corella, Poonam Basu"
Vengeance and Untold Love,2024,5.7,(11),"Stuart Forbes, Austin Hunza"
"Dear Husband, Let's Get Divorced",2024,8.3,(30),"James Liddell, Raquel Woodruff, Kelsey C Lynn"
The Lady Boss Is Done Pretending,2024,7.6,(178),"Mariah Moss, Noah Fearnley, Paige Marie Smeltzer"
Return of the Abandoned Heiress,2024,6.5,(127),"Sophia Delucchi, Ben Taylor, Ray Buffer"
The Divorced Billionaire Heiress,2024,4.8,(1.1K),"Lawrence Shagawat, John Morgan, Mariah Moss"
The Birth of the Black Lotus,2024,7.3,(21),"Lil Safonova, Jean Evans, Aidan Browne"
